EmployeeID,Date,UnitsProduced,Defects,Attendance,OvertimeHours
1,2024-01-01,111,5,0,2
1,2024-01-02,135,9,1,1
1,2024-01-03,88,5,1,3
1,2024-01-04,96,6,1,0
1,2024-01-05,85,9,1,3
1,2024-01-06,68,9,1,2
1,2024-01-07,63,1,1,3
1,2024-01-08,59,7,1,0
1,2024-01-09,138,2,1,1
1,2024-01-10,88,6,1,3
1,2024-01-11,132,2,1,1
1,2024-01-12,115,7,1,1
1,2024-01-13,80,7,1,2
1,2024-01-14,147,9,1,0
1,2024-01-15,101,6,1,3
1,2024-01-16,73,2,1,0
1,2024-01-17,56,0,1,1
1,2024-01-18,95,3,1,0
1,2024-01-19,128,7,1,2
1,2024-01-20,108,4,1,3
1,2024-01-21,142,8,1,2
1,2024-01-22,58,7,1,0
1,2024-01-23,127,0,1,3
1,2024-01-24,140,6,1,2
1,2024-01-25,123,5,1,0
1,2024-01-26,86,3,1,0
1,2024-01-27,59,1,1,1
1,2024-01-28,111,5,1,0
1,2024-01-29,95,0,1,3
1,2024-01-30,143,9,0,0
1,2024-01-31,82,2,1,3
1,2024-02-01,143,7,1,1
1,2024-02-02,66,0,1,2
1,2024-02-03,139,3,1,0
1,2024-02-04,149,9,1,1
1,2024-02-05,106,4,0,2
1,2024-02-06,50,4,1,2
1,2024-02-07,51,3,1,0
1,2024-02-08,100,1,0,1
1,2024-02-09,119,9,1,1
1,2024-02-10,122,7,1,1
1,2024-02-11,61,5,1,2
1,2024-02-12,104,9,1,1
1,2024-02-13,86,1,1,1
1,2024-02-14,54,3,1,1
1,2024-02-15,125,8,1,1
1,2024-02-16,61,2,1,1
1,2024-02-17,91,6,1,0
1,2024-02-18,72,9,1,1
1,2024-02-19,108,1,1,1
1,2024-02-20,68,9,1,2
1,2024-02-21,148,3,1,1
1,2024-02-22,109,0,1,0
1,2024-02-23,127,2,1,2
1,2024-02-24,106,0,1,1
1,2024-02-25,137,3,0,1
1,2024-02-26,80,7,1,0
1,2024-02-27,102,5,1,0
1,2024-02-28,81,4,1,2
1,2024-02-29,68,6,1,1
1,2024-03-01,70,8,1,1
1,2024-03-02,65,9,0,3
1,2024-03-03,53,1,1,0
1,2024-03-04,71,4,1,2
1,2024-03-05,98,7,1,2
1,2024-03-06,88,9,1,0
1,2024-03-07,117,0,1,2
1,2024-03-08,65,3,1,0
1,2024-03-09,79,4,1,2
1,2024-03-10,122,6,1,3
1,2024-03-11,57,3,1,0
1,2024-03-12,135,4,1,3
1,2024-03-13,89,7,1,3
1,2024-03-14,140,1,1,3
1,2024-03-15,54,1,1,1
1,2024-03-16,84,7,1,3
1,2024-03-17,101,0,1,3
1,2024-03-18,77,9,1,2
1,2024-03-19,91,4,1,1
1,2024-03-20,128,6,1,2
1,2024-03-21,147,6,1,0
1,2024-03-22,100,7,1,2
1,2024-03-23,144,2,1,0
1,2024-03-24,85,3,1,0
1,2024-03-25,97,8,1,0
1,2024-03-26,89,2,1,0
1,2024-03-27,94,1,0,2
1,2024-03-28,57,9,1,0
1,2024-03-29,114,4,1,1
1,2024-03-30,104,4,1,3
1,2024-03-31,106,8,1,0
2,2024-01-01,85,7,1,0
2,2024-01-02,88,3,1,3
2,2024-01-03,106,0,0,1
2,2024-01-04,149,6,1,0
